id,historico_id,serie_id,ano,estabelecimento,municipio,uf
559,105,6,2014,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
560,106,7,2005,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
561,106,8,2006,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
562,106,9,2007,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
563,106,10,2008,"CENTRO EDUCACIONAL CAMINHO DO SABER","NATAL ",RN
564,106,11,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
565,106,12,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
566,106,13,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
567,106,14,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
568,106,15,2014,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
569,107,6,2008,"COLÉGIO POLITECNICO ABSOLUTO",NATAL,RN
570,107,7,2009,"ESCOLA BRASIL NOVO",NATAL,RN
571,107,8,2011,"CENTRO EDUCACIONAL FLORES DE MARIA",NATAL,RN
572,107,9,2012," CENTRO EDUCACIONAL FLORES DE MARIA",NATAL,RN
573,107,10,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
574,109,6,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
575,110,6,2014,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
576,111,6,2009,"CENTRO EDUCACIONAL A SEARA",NATAL,RN
577,111,7,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
578,111,8,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
579,111,9,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
580,111,10,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
581,111,11,2014,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
582,112,6,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
583,112,7,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
584,112,8,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
585,112,9,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
586,112,10,2014,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
587,113,6,2006,"JARDIM ESCOLA MENINO JESUS DE PRAGA",NATAL,RN
588,113,7,2007,"JARDIM ESCOLA MENINO JESUS DE PRAGA",NATAL,RN
589,113,8,2008,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
590,113,9,2009," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
591,113,10,2010," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
592,113,11,2011," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
593,113,12,2013," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
594,113,13,2014," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
595,108,6,2014," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
596,114,6,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
597,114,7,2012," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
598,114,8,2013," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
599,114,9,2014," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
600,115,6,2009,"JARDIM ESCOLA CASINHA FELIZ",NATAL,RN
601,115,7,2010,"CENTRO DE ENSINO NEUZANA",NATAL,RN
602,115,8,2011," CENTRO DE ENSINO NEUZANA",NATAL,RN
603,115,9,2012," CENTRO DE ENSINO NEUZANA",NATAL,RN
604,115,10,2013," CENTRO DE ENSINO NEUZANA",NATAL,RN
605,115,11,2014,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
606,116,6,2007,"JARDIM ESCOLA O PAÍS DAS LETRAS",NATAL,RN
607,116,7,2008,"JARDIM ESCOLA O PAÍS DAS LETRAS",NATAL,RN
608,116,8,2009,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
609,116,9,,,,
610,116,10,,,,
611,116,11,,,,
612,116,12,,,,
613,116,13,,,,
614,116,14,,,,
615,116,15,2015,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
616,119,6,2008,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
617,119,7,2009,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
618,119,8,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
619,119,9,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
620,119,10,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
621,119,11,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
622,119,12,2014,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
623,117,6,2004,"JARDIM ESCOLA BABY DISNEY",NATAL,RN
624,117,7,2005," JARDIM ESCOLA BABY DISNEY",NATAL,RN
625,117,8,2006," JARDIM ESCOLA BABY DISNEY",NATAL,RN
626,117,9,2007," JARDIM ESCOLA BABY DISNEY",NATAL,RN
627,117,10,2008," JARDIM ESCOLA BABY DISNEY",NATAL,RN
628,117,11,2009,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
629,117,12,2010," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
630,117,13,2011," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
631,117,14,2012," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
632,117,15,2013," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
633,117,16,2014," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
634,117,17,2015," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
635,118,7,2007,"CENTRO EDUCACIONLA CAMINHO DO SABER",NATAL,RN
636,118,8,2008,"EXPANSIVO COLÉGIO E CURSO",NATAL,RN
637,118,9,2009,"ÊXITO COLÉGIO E CURSO",NATAL,RN
638,118,10,2010,"ÊXITO COLÈGIO E CURSO",NATAL,RN
639,118,11,2011,"ESCOLA MUNICIPAL IRMÃ ARCÂNGELA",NATAL,RN
640,118,12,2012," CENTRO EDUCACIONLA CAMINHO DO SABER",NATAL,RN
641,118,13,2013," CENTRO EDUCACIONLA CAMINHO DO SABER",NATAL,RN
642,118,14,2014," CENTRO EDUCACIONLA CAMINHO DO SABER",NATAL,RN
643,120,6,2009,"CENTRO DE APRENDIZAGEM ARCO IRIS",NATAL,RN
644,120,7,2010,"COLÉGIO BRASIL",NATAL,RN
645,120,8,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
646,120,9,2012," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
647,120,10,2013," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
648,120,11,2014," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
649,121,6,2008,"JARDIM ESCOLA CASINHA FELIZ",NATAL,RN
650,121,7,2009,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
651,121,8,2010," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
652,121,9,2011," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
653,121,10,2012," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
654,121,11,2013," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
655,121,12,2014," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
656,122,6,2007,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
657,122,7,2008,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
658,122,8,2009,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
659,122,9,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
660,122,10,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
661,122,11,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
662,122,12,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
663,122,13,2014,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
664,122,14,2015,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
665,123,6,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
666,123,7,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
667,124,6,2006,"INOVAÇÃO EDUCACIONAL ""MEU PEQUENO MUNDO""",NATAL,RN
668,124,7,2007," INOVAÇÃO EDUCACIONAL ""MEU PEQUENO MUNDO""",NATAL,RN
669,124,8,2008," INOVAÇÃO EDUCACIONAL ""MEU PEQUENO MUNDO""",NATAL,RN
670,124,9,2009,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
671,124,10,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
672,124,11,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
673,124,12,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
674,124,13,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
675,124,14,2014,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
676,125,6,2008,"JARDIM ESCOLA MENINO JESUS DE PRAGA",NATAL,RN
677,125,7,2009,"CENTRO EDUCATIVO POTENGI",NATAL,RN
678,125,8,2010,"JARDIM ESCOLA MENINO JESUS DE PRAGA",NATAL,RN
679,125,9,2011,"CENTRO EDUCATIVO POTENGI",NATAL,RN
680,125,10,2012," CENTRO EDUCATIVO POTENGI",NATAL,RN
681,125,11,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
682,125,12,2014," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
683,126,6,2006,"INSTITUTO DE EDUCAÇÃO PAULO DE TORRES","RIO DE JANEIRO",RJ
684,126,16,2007,"INSTITUTO DE EDUCAÇÃO PAULO DE TORRES","RIO DE JANEIRO",RJ
685,126,8,2008,"INSTITUTO TAVARES DE ENSINO","RIO DE JANEIRO",RJ
686,126,9,2009," INSTITUTO TAVARES DE ENSINO","RIO DE JANEIRO",RJ
687,126,10,2010,"JARDIM ESCOLA BABY DISNEY",NATAL,RN
688,126,11,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
689,126,12,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
690,126,13,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
691,127,6,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
692,127,7,2011," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
693,127,8,2012," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
694,128,6,2007,"COLÉGIO DEGRAUS DO SABER",NATAL,RN
695,128,7,2009,"COLÉGIO HIPÓCRATES ZONA NORTE",NATAL,RN
696,129,6,2006,"JARDIM ESCOLA SONHO ENCANTADO",SERRINHA,RN
697,129,7,2007," JARDIM ESCOLA SONHO ENCANTADO",SERRINHA,RN
698,129,8,2008," JARDIM ESCOLA SONHO ENCANTADO",SERRINHA,RN
699,129,9,2009," JARDIM ESCOLA SONHO ENCANTADO",SERRINHA,RN
700,129,10,2010," JARDIM ESCOLA SONHO ENCANTADO",SERRINHA,RN
701,128,8,2010,"ESCOLA LAURA VICUÑA ",NATAL,RN
702,129,11,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
703,128,9,2011,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
704,128,10,2012,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
705,128,11,2013,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
706,130,6,2009,"CENTRO EDUCACIONAL JESIEL FIGUEIRÊDO",NATAL,RN
707,130,7,2010,"CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
708,130,8,2011," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
709,130,9,2012," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
710,130,10,2013," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
711,130,11,2014," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
712,131,6,2008,"CENTRO EDUCATIVO POTENGI",NATAL,RN
713,131,7,2009," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
714,131,8,2010," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
715,131,9,2011," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
716,131,10,2012," CENTRO EDUCACIONAL CAMINHO DO SABER",NATAL,RN
717,132,6,2008,"CENTRO EDUCACIONAL BELA EMÍLIA","SÃO GONÇALO DO AMARANTE",RN
718,132,7,2009,"CENTRO EDUCACIONAL NEUZANA",NATAL,RN
719,132,8,2010,"JARDIM ESCOLA CASINHA FELIZ",NATAL,RN
720,132,9,2011," JARDIM ESCOLA CASINHA FELIZ",NATAL,RN
721,132,10,2012," JARDIM ESCOLA CASINHA FELIZ",NATAL,RN
