id,serie_id,disciplina_id,created_at,updated_at,deleted_at
1,1,31,"2023-09-08 00:38:02","2023-09-08 14:15:27","2023-09-08 11:15:27"
2,3,28,"2023-09-08 00:39:21","2023-09-08 14:17:09","2023-09-08 11:17:09"
3,3,23,"2023-09-08 00:39:21","2023-09-08 14:17:09","2023-09-08 11:17:09"
4,3,1,"2023-09-08 00:39:21","2023-09-08 14:17:09","2023-09-08 11:17:09"
5,3,27,"2023-09-08 00:39:21","2023-09-08 14:17:09","2023-09-08 11:17:09"
6,3,24,"2023-09-08 00:39:21","2023-09-08 14:17:09","2023-09-08 11:17:09"
7,3,29,"2023-09-08 00:39:21","2023-09-08 14:17:09","2023-09-08 11:17:09"
8,4,23,"2023-09-08 12:29:58","2023-09-08 14:17:42","2023-09-08 11:17:42"
9,4,27,"2023-09-08 12:29:58","2023-09-08 14:17:42","2023-09-08 11:17:42"
10,4,24,"2023-09-08 12:29:58","2023-09-08 14:17:42","2023-09-08 11:17:42"
11,4,28,"2023-09-08 12:29:58","2023-09-08 14:17:42","2023-09-08 11:17:42"
12,4,1,"2023-09-08 12:29:58","2023-09-08 14:17:42","2023-09-08 11:17:42"
13,1,28,"2023-09-08 11:15:27","2023-09-08 14:15:33","2023-09-08 11:15:33"
14,1,23,"2023-09-08 11:15:27","2023-09-08 14:15:33","2023-09-08 11:15:33"
15,1,1,"2023-09-08 11:15:27","2023-09-08 14:15:33","2023-09-08 11:15:33"
16,1,24,"2023-09-08 11:15:27","2023-09-08 14:15:33","2023-09-08 11:15:33"
17,1,27,"2023-09-08 11:15:27","2023-09-08 14:15:33","2023-09-08 11:15:33"
18,1,28,"2023-09-08 11:15:33","2023-09-08 14:15:33",
19,1,23,"2023-09-08 11:15:33","2023-09-08 14:15:33",
20,1,1,"2023-09-08 11:15:33","2023-09-08 14:15:33",
21,1,24,"2023-09-08 11:15:33","2023-09-08 14:15:33",
22,1,27,"2023-09-08 11:15:33","2023-09-08 14:15:33",
23,3,28,"2023-09-08 11:17:09","2023-09-08 14:17:09",
24,3,23,"2023-09-08 11:17:09","2023-09-08 14:17:09",
25,3,1,"2023-09-08 11:17:09","2023-09-08 14:17:09",
26,3,27,"2023-09-08 11:17:09","2023-09-08 14:17:09",
27,3,24,"2023-09-08 11:17:09","2023-09-08 14:17:09",
28,4,23,"2023-09-08 11:17:42","2023-09-08 14:17:42",
29,4,27,"2023-09-08 11:17:42","2023-09-08 14:17:42",
30,4,24,"2023-09-08 11:17:42","2023-09-08 14:17:42",
31,4,28,"2023-09-08 11:17:42","2023-09-08 14:17:42",
32,4,1,"2023-09-08 11:17:42","2023-09-08 14:17:42",
33,5,1,"2023-09-08 11:19:06","2023-09-08 14:19:06",
34,5,23,"2023-09-08 11:19:06","2023-09-08 14:19:06",
35,5,24,"2023-09-08 11:19:06","2023-09-08 14:19:06",
36,5,27,"2023-09-08 11:19:06","2023-09-08 14:19:06",
37,5,28,"2023-09-08 11:19:06","2023-09-08 14:19:06",
38,6,2,"2023-09-08 11:23:07","2023-09-08 14:23:07",
39,6,1,"2023-09-08 11:23:07","2023-09-08 14:23:07",
40,6,3,"2023-09-08 11:23:07","2023-09-08 14:23:07",
41,6,4,"2023-09-08 11:23:07","2023-09-08 14:23:07",
42,6,8,"2023-09-08 11:23:07","2023-09-08 14:23:07",
43,6,9,"2023-09-08 11:23:07","2023-09-08 14:23:07",
44,6,10,"2023-09-08 11:23:07","2023-09-08 14:23:07",
45,6,11,"2023-09-08 11:23:07","2023-09-08 14:23:07",
46,6,12,"2023-09-08 11:23:07","2023-09-08 14:23:07",
47,6,13,"2023-09-08 11:23:07","2023-09-08 14:23:07",
48,7,2,"2023-09-08 11:25:43","2023-09-08 14:25:43",
49,7,1,"2023-09-08 11:25:43","2023-09-08 14:25:43",
50,7,3,"2023-09-08 11:25:43","2023-09-08 14:25:43",
51,7,4,"2023-09-08 11:25:43","2023-09-08 14:25:43",
52,7,8,"2023-09-08 11:25:43","2023-09-08 14:25:43",
53,7,9,"2023-09-08 11:25:43","2023-09-08 14:25:43",
54,7,10,"2023-09-08 11:25:43","2023-09-08 14:25:43",
55,7,11,"2023-09-08 11:25:43","2023-09-08 14:25:43",
56,7,12,"2023-09-08 11:25:43","2023-09-08 14:25:43",
57,7,13,"2023-09-08 11:25:43","2023-09-08 14:25:43",
58,8,1,"2023-09-08 11:26:59","2023-09-08 14:26:59",
59,8,2,"2023-09-08 11:26:59","2023-09-08 14:26:59",
60,8,3,"2023-09-08 11:26:59","2023-09-08 14:26:59",
61,8,4,"2023-09-08 11:26:59","2023-09-08 14:26:59",
62,8,8,"2023-09-08 11:26:59","2023-09-08 14:26:59",
63,8,9,"2023-09-08 11:26:59","2023-09-08 14:26:59",
64,8,10,"2023-09-08 11:26:59","2023-09-08 14:26:59",
65,8,11,"2023-09-08 11:26:59","2023-09-08 14:26:59",
66,8,12,"2023-09-08 11:26:59","2023-09-08 14:26:59",
67,8,13,"2023-09-08 11:26:59","2023-09-08 14:26:59",
68,9,1,"2023-09-08 11:29:40","2023-09-08 14:29:40",
69,9,2,"2023-09-08 11:29:40","2023-09-08 14:29:40",
70,9,3,"2023-09-08 11:29:40","2023-09-08 14:29:40",
71,9,4,"2023-09-08 11:29:40","2023-09-08 14:29:40",
72,9,8,"2023-09-08 11:29:40","2023-09-08 14:29:40",
73,9,9,"2023-09-08 11:29:40","2023-09-08 14:29:40",
74,9,10,"2023-09-08 11:29:40","2023-09-08 14:29:40",
75,9,11,"2023-09-08 11:29:40","2023-09-08 14:29:40",
76,9,12,"2023-09-08 11:29:40","2023-09-08 14:29:40",
77,9,13,"2023-09-08 11:29:40","2023-09-08 14:29:40",
78,10,1,"2023-09-08 11:33:56","2023-09-08 14:33:56",
79,10,2,"2023-09-08 11:33:56","2023-09-08 14:33:56",
80,10,3,"2023-09-08 11:33:56","2023-09-08 14:33:56",
81,10,4,"2023-09-08 11:33:56","2023-09-08 14:33:56",
82,10,8,"2023-09-08 11:33:56","2023-09-08 14:33:56",
83,10,9,"2023-09-08 11:33:56","2023-09-08 14:33:56",
84,10,10,"2023-09-08 11:33:56","2023-09-08 14:33:56",
85,10,11,"2023-09-08 11:33:56","2023-09-08 14:33:56",
86,10,13,"2023-09-08 11:33:56","2023-09-08 14:33:56",
87,10,12,"2023-09-08 11:33:56","2023-09-08 14:33:56",
88,11,1,"2023-09-08 11:36:10","2023-09-08 14:36:14","2023-09-08 11:36:14"
89,11,2,"2023-09-08 11:36:10","2023-09-08 14:36:14","2023-09-08 11:36:14"
90,11,3,"2023-09-08 11:36:10","2023-09-08 14:36:14","2023-09-08 11:36:14"
91,11,4,"2023-09-08 11:36:10","2023-09-08 14:36:14","2023-09-08 11:36:14"
92,11,8,"2023-09-08 11:36:10","2023-09-08 14:36:14","2023-09-08 11:36:14"
93,11,9,"2023-09-08 11:36:10","2023-09-08 14:36:14","2023-09-08 11:36:14"
94,11,10,"2023-09-08 11:36:10","2023-09-08 14:36:14","2023-09-08 11:36:14"
95,11,11,"2023-09-08 11:36:10","2023-09-08 14:36:14","2023-09-08 11:36:14"
96,11,12,"2023-09-08 11:36:10","2023-09-08 14:36:14","2023-09-08 11:36:14"
97,11,13,"2023-09-08 11:36:10","2023-09-08 14:36:14","2023-09-08 11:36:14"
98,11,1,"2023-09-08 11:36:14","2023-09-08 14:36:14",
99,11,2,"2023-09-08 11:36:14","2023-09-08 14:36:14",
100,11,3,"2023-09-08 11:36:14","2023-09-08 14:36:14",
101,11,4,"2023-09-08 11:36:14","2023-09-08 14:36:14",
102,11,8,"2023-09-08 11:36:14","2023-09-08 14:36:14",
103,11,9,"2023-09-08 11:36:14","2023-09-08 14:36:14",
104,11,10,"2023-09-08 11:36:14","2023-09-08 14:36:14",
105,11,11,"2023-09-08 11:36:14","2023-09-08 14:36:14",
106,11,12,"2023-09-08 11:36:14","2023-09-08 14:36:14",
107,11,13,"2023-09-08 11:36:14","2023-09-08 14:36:14",
108,12,1,"2023-09-08 11:39:39","2023-09-08 14:39:39",
109,12,2,"2023-09-08 11:39:39","2023-09-08 14:39:39",
110,12,3,"2023-09-08 11:39:39","2023-09-08 14:39:39",
111,12,4,"2023-09-08 11:39:39","2023-09-08 14:39:39",
112,12,8,"2023-09-08 11:39:39","2023-09-08 14:39:39",
113,12,9,"2023-09-08 11:39:39","2023-09-08 14:39:39",
114,12,10,"2023-09-08 11:39:39","2023-09-08 14:39:39",
115,12,11,"2023-09-08 11:39:39","2023-09-08 14:39:39",
116,12,12,"2023-09-08 11:39:39","2023-09-08 14:39:39",
117,12,13,"2023-09-08 11:39:39","2023-09-08 14:39:39",
118,13,1,"2023-09-08 12:45:16","2023-09-08 15:45:16",
119,13,2,"2023-09-08 12:45:16","2023-09-08 15:45:16",
120,13,3,"2023-09-08 12:45:16","2023-09-08 15:45:16",
121,13,4,"2023-09-08 12:45:16","2023-09-08 15:45:16",
122,13,8,"2023-09-08 12:45:16","2023-09-08 15:45:16",
123,13,9,"2023-09-08 12:45:16","2023-09-08 15:45:16",
124,13,10,"2023-09-08 12:45:16","2023-09-08 15:45:16",
125,13,11,"2023-09-08 12:45:16","2023-09-08 15:45:16",
126,13,13,"2023-09-08 12:45:16","2023-09-08 15:45:16",
127,14,1,"2023-09-08 12:46:12","2023-09-08 15:46:12",
128,14,2,"2023-09-08 12:46:12","2023-09-08 15:46:12",
129,14,3,"2023-09-08 12:46:12","2023-09-08 15:46:12",
130,14,4,"2023-09-08 12:46:12","2023-09-08 15:46:12",
131,14,8,"2023-09-08 12:46:12","2023-09-08 15:46:12",
132,14,9,"2023-09-08 12:46:12","2023-09-08 15:46:12",
