id,nome,created_at,updated_at,deleted_at
1,A,"2020-11-08 16:20:14","2020-11-08 20:16:49",
2,B,"2020-11-08 16:21:13","2020-11-08 20:16:55",
3,C,"2020-11-08 20:17:03","2020-11-08 20:17:03",
4,D,"2023-09-03 15:27:41","2023-09-03 15:27:41",
5,E,"2023-09-03 15:27:47","2023-09-03 15:27:47",
