id,nome,unit_id,created_at,updated_at,deleted_at
1,Financeiro,1,"2023-09-04 16:38:32","2023-09-04 16:38:32",
2,Administrativo,1,"2023-09-04 16:38:46","2023-09-04 16:38:46",
