id,system_user_id,system_unit_id,created_at,updated_at,deleted_at
2,2,1,"2023-09-06 17:42:00","2023-09-06 17:42:00",
3,3,1,"2023-09-06 17:42:56","2023-09-06 17:42:56",
4,4,1,"2023-11-15 15:28:47","2023-11-15 15:28:47",
5,5,1,"2023-11-15 15:30:13","2023-11-15 15:30:13",
6,1,1,"2024-01-04 20:10:19","2024-01-04 20:10:19",
