id,num_banco,nome_banco,unit_id,created_at,updated_at,deleted_at
1,000,"CAIXA INTERNO",1,"2023-09-04 16:13:12","2023-09-04 16:13:40",
2,001,CEF,1,"2023-09-04 16:13:47","2023-09-04 16:13:47",
