id,historico_id,totais,n1_ano,n2_ano,n3_ano,n4_ano,n5_ano,n6_ano,n7_ano,n8_ano,n9_ano,n1_serie,n2_serie,n3_serie
4422,681,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4423,681,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4424,681,Frequência,97%,-,-,-,-,-,-,-,-,-,-,-
4425,681,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
4429,682,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4430,682,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4431,682,Frequência,94%,-,-,-,-,-,-,-,-,-,-,-
4432,682,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
4436,683,"Dias Letivos",200,200,200,200,-,-,-,-,-,-,-,-
4437,683,"Carga Horária",1000,1000,1000,1000,-,-,-,-,-,-,-,-
4438,683,Frequência,100%,99%,95%,92%,-,-,-,-,-,-,-,-
4439,683,"Resultado Final",AP,AP,AP,AP,-,-,-,-,-,-,-,-
4443,684,"Dias Letivos",200,200,200,-,-,-,-,-,-,-,-,-
4444,684,"Carga Horária",1000,1000,1000,-,-,-,-,-,-,-,-,-
4445,684,Frequência,98%,96%,96%,-,-,-,-,-,-,-,-,-
4446,684,"Resultado Final",AP,AP,AP,-,-,-,-,-,-,-,-,-
4450,686,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4451,686,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,1040
4452,686,Frequência,-,-,-,-,-,-,-,-,98%,97%,92%,92%
4453,686,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4457,687,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4458,687,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4459,687,Frequência,100%,97%,95%,90%,89%,-,-,-,-,-,-,-
4460,687,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4464,688,"Dias Letivos",200,200,200,200,-,-,-,-,-,-,-,-
4465,688,"Carga Horária",1000,1000,1000,1000,-,-,-,-,-,-,-,-
4466,688,Frequência,75%,75%,98%,97%,-,-,-,-,-,-,-,-
4467,688,"Resultado Final",AP,AP,AP,AP,-,-,-,-,-,-,-,-
4471,689,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4472,689,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4473,689,Frequência,-,-,-,-,-,75%,79%,-,-,-,-,-
4474,689,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
4478,690,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,-,-
4479,690,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,-,-
4480,690,Frequência,75%,90%,90%,-,-,95%,90%,91%,83%,83%,-,-
4481,690,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-
4485,691,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4486,691,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4487,691,Frequência,100%,-,-,-,-,-,-,-,-,-,-,-
4488,691,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
4492,692,"Dias Letivos",200,200,-,-,-,-,-,-,-,-,-,-
4493,692,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
4494,692,Frequência,86%,32%,-,-,-,-,-,-,-,-,-,-
4495,692,"Resultado Final",AP,REP,-,-,-,-,-,-,-,-,-,-
4499,693,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4500,693,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4501,693,Frequência,86%,99%,79%,90%,100%,-,-,-,-,-,-,-
4502,693,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4506,694,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4507,694,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4508,694,Frequência,100%,100%,100%,100%,100%,99%,99%,97%,99%,-,-,-
4509,694,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4513,695,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4514,695,"Carga Horária",900,900,900,900,900,1000,1000,1000,1000,-,-,-
4515,695,Frequência,98%,94%,98%,95%,98%,91%,80%,87%,84%,-,-,-
4516,695,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4520,696,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4521,696,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4522,696,Frequência,98%,100%,98%,90%,100%,-,-,-,-,-,-,-
4523,696,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4527,697,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4528,697,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4529,697,Frequência,100%,100%,100%,100%,99%,97%,99%,98%,98%,-,-,-
4530,697,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4534,698,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4535,698,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4536,698,Frequência,97%,-,-,-,-,-,-,-,-,-,-,-
4537,698,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
4541,699,"Dias Letivos",200,200,200,-,-,-,-,-,-,-,-,-
4542,699,"Carga Horária",1000,1000,1000,-,-,-,-,-,-,-,-,-
4543,699,Frequência,92%,96%,50%,-,-,-,-,-,-,-,-,-
4544,699,"Resultado Final",AP,AP,TRAN,-,-,-,-,-,-,-,-,-
4548,700,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,-,-
4549,700,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,-,-
4550,700,Frequência,96%,100%,89%,86%,89%,91%,93%,92%,75%,75%,-,-
4551,700,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-
4555,701,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,-,-
4556,701,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,-,-
4557,701,Frequência,89%,91%,100%,100%,98%,100%,98%,98%,99%,96%,-,-
4558,701,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-
4562,702,"Dias Letivos",200,200,200,200,200,200,200,200,-,-,-,-
4563,702,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,-,-,-,-
4564,702,Frequência,-,92%,95%,98%,99%,99%,75%,93%,-,-,-,-
4565,702,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,-,-,-,-
4569,703,"Dias Letivos",200,200,200,200,-,-,-,-,-,-,-,-
4570,703,"Carga Horária",1000,960,1000,1000,-,-,-,-,-,-,-,-
4571,703,Frequência,97%,99%,99%,100%,-,-,-,-,-,-,-,-
4572,703,"Resultado Final",AP,AP,AP,AP,-,-,-,-,-,-,-,-
4576,704,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4577,704,"Carga Horária",-,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4578,704,Frequência,-,99%,98%,99%,99%,94%,95%,-,-,-,-,-
4579,704,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
4583,705,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
4584,705,"Carga Horária",1000,1000,1000,1000,1000,100,-,-,-,-,-,-
4585,705,Frequência,80%,99%,100%,100%,100%,98%,-,-,-,-,-,-
4586,705,"Resultado Final",AP,AP,AP,AP,AP,AP,-,-,-,-,-,-
4590,706,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4591,706,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4592,706,Frequência,91%,96%,90%,97%,100%,-,-,-,-,-,-,-
4593,706,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4597,707,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4598,707,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4599,707,Frequência,82%,88%,75%,91%,100%,-,-,-,-,-,-,-
4600,707,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4604,708,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4605,708,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4606,708,Frequência,97%,100%,93%,94%,75%,-,-,-,-,-,-,-
4607,708,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4611,709,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4612,709,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4613,709,Frequência,95%,97%,95%,92%,100%,-,-,-,-,-,-,-
4614,709,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4618,710,"Dias Letivos",200,200,200,200,200,200,200,200,-,-,-,-
4619,710,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,-,-,-,-
4620,710,Frequência,-,-,100%,98%,99%,97%,85%,75%,-,-,-,-
4621,710,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,-,-,-,-
4625,711,"Dias Letivos",200,200,-,-,-,-,-,-,-,-,-,-
4626,711,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
4627,711,Frequência,100%,87%,-,-,-,-,-,-,-,-,-,-
4628,711,"Resultado Final",AP,AP,-,-,-,-,-,-,-,-,-,-
4632,712,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4633,712,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4634,712,Frequência,97%,99%,97%,94%,100%,-,-,-,-,-,-,-
4635,712,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4639,713,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
4640,713,"Carga Horária",1000,1000,1000,1000,1000,1000,-,-,-,-,-,-
4641,713,Frequência,82%,97%,93%,96%,91%,96%,-,-,-,-,-,-
4642,713,"Resultado Final",AP,AP,AP,AP,AP,AP,-,-,-,-,-,-
4646,714,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4647,714,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4648,714,Frequência,100%,97%,97%,95%,100%,-,-,-,-,-,-,-
4649,714,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4653,715,"Dias Letivos",210,200,-,-,-,-,-,-,-,-,-,-
4654,715,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
4655,715,Frequência,-,100%,-,-,-,-,-,-,-,-,-,-
4656,715,"Resultado Final",AP,AP,-,-,-,-,-,-,-,-,-,-
4660,716,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4661,716,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4662,716,Frequência,100%,-,-,-,-,-,-,-,-,-,-,-
4663,716,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
4667,717,"Dias Letivos",200,200,-,-,-,-,-,-,-,-,-,-
4668,717,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
4669,717,Frequência,100%,100%,-,-,-,-,-,-,-,-,-,-
4670,717,"Resultado Final",AP,AP,-,-,-,-,-,-,-,-,-,-
4674,718,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4675,718,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4676,718,Frequência,97%,-,-,-,-,-,-,-,-,-,-,-
4677,718,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
4681,719,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4682,719,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4683,719,Frequência,100%,95%,96%,97%,93%,91%,86%,-,-,-,-,-
4684,719,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
4688,720,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,-,-
4689,720,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,-,-
4690,720,Frequência,100%,100%,95%,92%,84%,95%,90%,76%,85%,79%,-,-
4691,720,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-
4695,721,"Dias Letivos",-,200,200,200,200,200,200,200,200,200,-,-
4696,721,"Carga Horária",-,1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-
4697,721,Frequência,-,100%,96%,98%,98%,98%,98%,99%,97%,90%,-,-
4698,721,"Resultado Final",-,AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-
4702,722,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4703,722,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4704,722,Frequência,93%,97%,98%,99%,97%,98%,50%,-,-,-,-,-
4705,722,"Resultado Final",AP,AP,AP,AP,AP,AP,TRAN,-,-,-,-,-
4709,723,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
4710,723,"Carga Horária",1000,1000,1000,1000,1000,1000,-,-,-,-,-,-
4711,723,Frequência,100%,84%,80%,89%,97%,90%,-,-,-,-,-,-
4712,723,"Resultado Final",AP,AP,AP,AP,AP,AP,-,-,-,-,-,-
4713,726,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4714,726,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,1040
4715,726,Frequência,-,-,-,-,-,-,100%,90%,99%,97%,97%,91%
4716,726,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4720,727,"Dias Letivos",200,200,200,-,-,-,-,-,-,-,-,-
4721,727,"Carga Horária",1000,1000,1000,-,-,-,-,-,-,-,-,-
4722,727,Frequência,100%,75%,82%,-,-,-,-,-,-,-,-,-
4723,727,"Resultado Final",AP,AP,AP,-,-,-,-,-,-,-,-,-
4727,728,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4728,728,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
4729,728,Frequência,92%,98%,90%,92%,100%,-,-,-,-,-,-,-
4730,728,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4734,729,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4735,729,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4736,729,Frequência,100%,98%,96%,96%,99%,98%,95%,97%,97%,-,-,-
4737,729,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4741,730,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4742,730,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4743,730,Frequência,99%,100%,99%,99%,100%,99%,85%,93%,97%,-,-,-
4744,730,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4748,731,"Dias Letivos",200,-,-,-,-,-,-,-,-,-,-,-
4749,731,"Carga Horária",1000,-,-,-,-,-,-,-,-,-,-,-
4750,731,Frequência,93%,-,-,-,-,-,-,-,-,-,-,-
4751,731,"Resultado Final",AP,-,-,-,-,-,-,-,-,-,-,-
4755,732,"Dias Letivos",200,200,200,200,-,-,-,-,-,-,-,-
4756,732,"Carga Horária",1000,1000,1000,1000,-,-,-,-,-,-,-,-
4757,732,Frequência,92%,93%,89%,88%,-,-,-,-,-,-,-,-
4758,732,"Resultado Final",AP,AP,AP,AP,-,-,-,-,-,-,-,-
4762,733,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4763,733,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4764,733,Frequência,90%,92%,96%,95%,95%,97%,97%,-,-,-,-,-
4765,733,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
4769,734,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4770,734,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4771,734,Frequência,-,99%,100%,95%,95%,75%,94%,-,-,-,-,-
4772,734,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
4776,735,"Dias Letivos",200,200,200,-,-,-,-,-,-,-,-,-
4777,735,"Carga Horária",1000,1000,1000,-,-,-,-,-,-,-,-,-
4778,735,Frequência,-,-,95%,-,-,-,-,-,-,-,-,-
4779,735,"Resultado Final",AP,AP,AP,-,-,-,-,-,-,-,-,-
4783,736,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
4784,736,"Carga Horária",1000,1000,1000,1000,1000,1000,-,-,-,-,-,-
4785,736,Frequência,96%,92%,95%,92%,77%,74%,-,-,-,-,-,-
4786,736,"Resultado Final",AP,AP,AP,AP,AP,REP,-,-,-,-,-,-
4790,737,"Dias Letivos",200,200,200,200,-,-,-,-,-,-,-,-
4791,737,"Carga Horária",1000,1000,1000,1000,-,-,-,-,-,-,-,-
4792,737,Frequência,99%,99%,96%,94%,-,-,-,-,-,-,-,-
4793,737,"Resultado Final",AP,AP,AP,AP,-,-,-,-,-,-,-,-
4797,738,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
4798,738,"Carga Horária",1000,1000,1000,1000,1000,1000,-,-,-,-,-,-
4799,738,Frequência,88%,96%,85%,93%,100%,98%,-,-,-,-,-,-
4800,738,"Resultado Final",AP,AP,AP,AP,AP,AP,-,-,-,-,-,-
4804,739,"Dias Letivos",200,211,211,203,210,200,200,200,200,200,200,-
4805,739,"Carga Horária",800,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,-
4806,739,Frequência,-,94%,97%,100%,97%,100%,98%,97%,91%,91%,93%,-
4807,739,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-
4811,740,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
4812,740,"Carga Horária",1000,1000,1000,1000,1000,1000,-,-,-,-,-,-
4813,740,Frequência,99%,100%,99%,99%,100%,98%,-,-,-,-,-,-
4814,740,"Resultado Final",AP,AP,AP,AP,AP,AP,-,-,-,-,-,-
4818,741,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4819,741,"Carga Horária",1000,900,900,900,1000,-,-,-,-,-,-,-
4820,741,Frequência,95%,94%,90%,83%,100%,-,-,-,-,-,-,-
4821,741,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
4825,742,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4826,742,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4827,742,Frequência,100%,94%,98%,97%,99%,97%,94%,91%,89%,-,-,-
4828,742,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4832,743,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4833,743,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4834,743,Frequência,100%,96%,97%,98%,98%,98%,97%,90%,98%,-,-,-
4835,743,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4839,744,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,-,-
4840,744,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,-,-
4841,744,"Carga Horária",100%,100%,96%,93%,93%,95%,95%,90%,93%,97%,-,-
4842,744,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-
4846,745,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,-,-
4847,745,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,-,-
4848,745,Frequência,100%,100%,99%,98%,99%,99%,99%,97%,96%,98%,-,-
4849,745,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-
4853,746,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,-
4854,746,"Carga Horária",900,900,900,900,900,1000,1000,1000,1000,1040,1040,-
4855,746,Frequência,-,-,-,-,-,97%,92%,93%,94%,75%,95%,-
4856,746,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-
4860,747,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,-
4861,747,"Carga Horária",900,900,900,900,900,1000,1000,1000,1000,1040,1040,-
4862,747,Frequência,-,-,-,-,-,98%,98%,99%,95%,95%,97%,-
4863,747,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-
4867,748,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,-
4868,748,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,-
4869,748,Frequência,98%,85%,80%,75%,75%,90%,85%,93%,87%,88%,87%,-
4870,748,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-
4874,749,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4875,749,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4876,749,Frequência,98%,96%,98%,97%,89%,98%,100%,-,-,-,-,-
4877,749,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
4881,750,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,-,-
4882,750,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,-,-
4883,750,Frequência,100%,99%,98%,98%,99%,97%,98%,96%,92%,99%,-,-
4884,750,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-
4888,751,"Dias Letivos",200,200,200,-,-,-,-,-,-,-,-,-
4889,751,"Carga Horária",1000,1000,1000,-,-,-,-,-,-,-,-,-
4890,751,Frequência,100%,75%,81%,-,-,-,-,-,-,-,-,-
4891,751,"Resultado Final",AP,AP,AP,-,-,-,-,-,-,-,-,-
4895,752,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4896,752,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4897,752,Frequência,-,-,96%,95%,98%,95%,94%,91%,97%,-,-,-
4898,752,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4902,753,"Dias Letivos",200,200,-,-,-,-,-,-,-,-,-,-
4903,753,"Carga Horária",1000,1000,-,-,-,-,-,-,-,-,-,-
4904,753,Frequência,87%,89%,-,-,-,-,-,-,-,-,-,-
4905,753,"Resultado Final",AP,AP,-,-,-,-,-,-,-,-,-,-
4909,754,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4910,754,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4911,754,Frequência,99%,99%,94%,95%,96%,80%,94%,-,-,-,-,-
4912,754,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
4916,755,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,-,-
4917,755,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-
4918,755,Frequência,100%,100%,95%,96%,96%,98%,95%,94%,97%,95%,-,-
4919,755,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-
4923,756,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4924,756,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4925,756,Frequência,95%,-,98%,99%,99%,100%,98%,98%,99%,-,-,-
4926,756,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4930,757,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4931,757,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4932,757,Frequência,98%,95%,96%,96%,98%,98%,98%,89%,94%,-,-,-
4933,757,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4937,758,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4938,758,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4939,758,Frequência,95%,99%,92%,95%,92%,97%,94%,-,-,-,-,-
4940,758,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,-,-,-,-,-
4944,759,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,-
4945,759,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,-
4946,759,Frequência,99%,100%,93%,92%,92%,94%,89%,94%,86%,92%,96%,-
4947,759,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-
4951,760,"Dias Letivos",200,200,200,200,-,-,-,-,-,-,-,-
4952,760,"Carga Horária",1000,1000,1000,1000,-,-,-,-,-,-,-,-
4953,760,Frequência,97%,75%,89%,92%,-,-,-,-,-,-,-,-
4954,760,"Resultado Final",AP,AP,AP,AP,-,-,-,-,-,-,-,-
4958,761,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4959,761,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4960,761,Frequência,100%,95%,98%,99%,99%,98%,91%,94%,97%,-,-,-
4961,761,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4965,762,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4966,762,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4967,762,Frequência,100%,100%,99%,99%,99%,99%,96%,93%,97%,-,-,-
4968,762,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4972,763,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4973,763,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
4974,763,Frequência,96%,97%,94%,94%,92%,96%,99%,100%,92%,92%,95%,89%
4975,763,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4979,764,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4980,764,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4981,764,Frequência,100%,100%,98%,99%,99%,99%,99%,97%,99%,-,-,-
4982,764,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4986,765,"Dias Letivos",200,200,200,200,200,200,200,200,200,-,-,-
4987,765,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,-,-,-
4988,765,Frequência,-,-,96%,96%,99%,99%,95%,100%,98%,-,-,-
4989,765,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,-,-,-
4993,766,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,-
4994,766,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,-
4995,766,Frequência,-,-,-,-,-,95%,87%,83%,75%,75%,96%,-
4996,766,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,-
5000,767,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
5001,767,"Carga Horária",1000,1000,1000,1000,1000,-,-,-,-,-,-,-
5002,767,Frequência,100%,97%,95%,99%,87%,-,-,-,-,-,-,-
5003,767,"Resultado Final",AP,AP,AP,AP,AP,-,-,-,-,-,-,-
5007,768,"Dias Letivos",-,-,200,200,200,-,-,-,-,-,-,-
