id,historico_id,totais,n1_ano,n2_ano,n3_ano,n4_ano,n5_ano,n6_ano,n7_ano,n8_ano,n9_ano,n1_serie,n2_serie,n3_serie
3991,617,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1200,1200,1200
3992,617,Frequência,97%,95%,95%,98%,100%,100%,100%,100%,98%,98%,99%,83%
3993,617,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
3997,618,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
3998,618,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
3999,618,Frequência,96%,96%,99%,98%,100%,100%,100%,100%,96%,96%,97%,84%
4000,618,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4004,619,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4005,619,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
4006,619,Frequência,100%,97%,99%,99%,100%,100%,100%,100%,98%,95%,96%,93%
4007,619,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4011,620,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4012,620,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,1040
4013,620,Frequência,99%,97%,96%,98%,100%,100%,100%,100%,99%,99%,96%,94%
4014,620,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4018,621,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4019,621,"Carga Horária",900,1000,1000,900,900,1000,1000,1000,1000,1200,1200,1200
4020,621,Frequência,-,-,-,-,-,100%,100%,100%,99%,99%,98%,96%
4021,621,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4025,622,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4026,622,"Carga Horária",920,920,920,1000,1000,1080,1040,1080,1120,1116,1200,1200
4027,622,Frequência,-,-,-,-,-,-,-,-,-,-,93%,89%
4028,622,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4032,623,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4033,623,"Carga Horária",,,-,1000,1000,1000,1000,1000,1000,1200,1200,1200
4034,623,Frequência,-,-,-,-,-,-,94%,92%,99%,99%,99%,97%
4035,623,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4039,624,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4040,624,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1200,1200,1200
4041,624,Frequência,98%,98%,96%,96%,100%,100%,100%,100%,98%,98%,97%,83%
4042,624,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4046,625,"Dias Letivos",200,200,200,200,200,200,200,200,200,200,200,200
4047,625,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,1000,1000,1040,1040,1040
4048,625,Frequência,-,92%,100%,100%,100%,100%,92%,94%,89%,90%,88%,88%
4049,625,"Resultado Final",AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP,AP
4053,626,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4054,626,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4055,626,Frequência,90%,100%,99%,100%,100%,94%,74%,-,-,-,-,-
4056,626,"Resultado Final",AP,AP,AP,AP,AP,AP,REP,-,-,-,-,-
4060,627,"Dias Letivos",200,200,200,200,200,200,200,-,-,-,-,-
4061,627,"Carga Horária",1000,1000,1000,1000,1000,1000,1000,-,-,-,-,-
4062,627,Frequência,98%,99%,86%,96%,94%,92%,47%,-,-,-,-,-
4063,627,"Resultado Final",AP,AP,AP,AP,AP,AP,REP,-,-,-,-,-
4067,628,"Dias Letivos",200,200,200,-,-,-,-,-,-,-,-,-
4068,628,"Carga Horária",874,1000,1000,-,-,-,-,-,-,-,-,-
4069,628,Frequência,99%,100%,100%,-,-,-,-,-,-,-,-,-
4070,628,"Resultado Final",AP,AP,TRAN,-,-,-,-,-,-,-,-,-
4074,629,"Dias Letivos",200,200,200,200,200,200,200,200,-,-,-,-
4075,629,"Carga Horária",1000,1000,1000,1000,1000,1040,1120,1000,-,-,-,-
4076,629,Frequência,-,-,-,-,-,86%,99%,90%,-,-,-,-
4077,629,"Resultado Final",AP,AP,AP,AP,AP,APP,AP,AP,-,-,-,-
4081,630,"Dias Letivos",200,200,200,200,200,-,-,-,-,-,-,-
4082,630,"Carga Horária",800,800,800,800,1000,-,-,-,-,-,-,-
4083,630,Frequência,96%,91%,95%,98%,96%,-,-,-,-,-,-,-
4084,630,"Resultado Final","AP ",AP,AP,AP,AP,-,-,-,-,-,-,-
4088,631,"Dias Letivos",200,200,200,200,200,200,-,-,-,-,-,-
