id,system_user_id,system_group_id,created_at,updated_at,deleted_at
2,2,1,"2023-09-06 17:47:07","0000-00-00 00:00:00",
3,3,1,"2023-09-06 17:47:07","0000-00-00 00:00:00",
4,4,1,"2023-11-15 15:28:47","0000-00-00 00:00:00",
5,5,1,"2023-11-15 15:30:13","0000-00-00 00:00:00",
6,1,1,"2024-01-04 20:10:19","0000-00-00 00:00:00",
